id,agv,initTime,assignTime,pickupTime,comepleteTime
4,80,6344.0161,6344.05,6345.45,6349.45
3,61,6343.957066,6344.0,6345.1,6350.9
2,81,6342.307335,6342.35,6343.45,6352.65
8,44,6347.617531,6347.65,6348.75,6353.65
9,26,6349.044007,6349.05,6350.15,6355.0
6,60,6346.916995,6346.95,6348.35,6356.65
1,27,6342.156708,6342.2,6343.3,6357.3
13,43,6350.82254,6350.85,6351.95,6357.3
17,28,6353.633274,6353.65,6355.05,6357.85
12,25,6350.675492,6350.7,6352.1,6358.2
14,37,6352.00322,6352.05,6353.75,6358.75
0,19,6341.451521,6341.5,6342.6,6359.8
5,41,6345.978533,6346.0,6347.1,6361.6
10,48,6349.057245,6349.1,6350.7,6362.8
18,54,6354.033274,6354.05,6355.15,6363.35
23,45,6358.976386,6359.0,6360.1,6363.5
15,38,6352.557066,6352.6,6354.3,6364.15
16,40,6353.005725,6353.05,6354.45,6364.3
7,63,6347.484079,6347.5,6348.6,6364.85
25,71,6360.607156,6360.65,6361.75,6366.0
24,30,6360.540608,6360.55,6361.65,6366.65
19,50,6355.020751,6355.05,6356.15,6366.75
20,24,6355.661181,6355.7,6356.8,6368.0
28,33,6362.699463,6362.7,6364.2,6370.25
22,22,6357.906977,6357.95,6359.05,6370.8
30,28,6364.169946,6364.2,6365.65,6372.1
11,17,6349.877281,6349.9,6351.0,6372.4
21,58,6357.751699,6357.8,6358.9,6374.6
35,39,6367.529517,6367.55,6368.95,6375.05
37,45,6367.91127,6367.95,6369.4,6376.1
31,42,6364.573524,6364.6,6366.0,6376.6
26,61,6360.877996,6360.9,6362.2,6376.75
34,21,6366.826118,6366.85,6368.25,6377.65
33,37,6365.943113,6365.95,6367.4,6378.1
38,57,6368.494454,6368.5,6369.6,6378.1
29,23,6363.242218,6363.25,6364.35,6379.7
27,29,6361.396422,6361.4,6363.55,6381.5
39,49,6368.879785,6368.9,6370.7,6382.3
32,31,6365.552057,6365.6,6367.7,6383.4
36,36,6367.781395,6367.8,6369.2,6383.8
50,19,6381.85653,6381.9,6383.05,6385.85
41,56,6374.861538,6374.9,6376.0,6386.15
43,26,6375.538819,6375.55,6377.0,6387.7
40,25,6374.02898,6374.05,6375.8,6390.7
45,28,6376.504114,6376.55,6378.6,6391.6
48,44,6380.045081,6380.05,6381.2,6393.65
42,27,6375.220394,6375.25,6376.7,6393.8
49,22,6381.605009,6381.65,6383.3,6394.6
44,30,6376.37102,6376.4,6377.55,6395.45
52,35,6386.354204,6386.4,6387.5,6395.65
51,54,6383.62576,6383.65,6385.25,6395.95
55,64,6389.359213,6389.4,6390.5,6397.0
54,32,6387.861538,6387.9,6390.9,6397.9
57,34,6393.036852,6393.05,6394.85,6398.15
46,65,6376.664401,6376.7,6377.8,6399.65
47,24,6379.430054,6379.45,6380.6,6400.25
53,48,6387.448301,6387.45,6388.6,6400.3
56,16,6390.756708,6390.8,6392.2,6409.1
61,25,6401.70805,6401.75,6403.85,6409.35
59,63,6398.444365,6398.45,6399.6,6415.3
58,23,6396.089445,6396.1,6397.85,6417.5
60,29,6400.42898,6400.45,6401.9,6418.8
64,67,6412.235778,6412.25,6413.35,6419.45
66,38,6415.30161,6415.35,6416.5,6420.7
68,53,6416.354204,6416.4,6417.5,6424.4
65,21,6413.315921,6413.35,6414.5,6429.3
62,17,6407.218605,6407.25,6408.4,6430.3
63,31,6411.340966,6411.35,6412.85,6432.15
67,25,6416.297674,6416.3,6417.45,6435.7
69,46,6422.235778,6422.25,6423.75,6439.45
70,45,6429.542755,6429.55,6431.0,6442.7
102,61,6440.323077,6440.35,6441.5,6445.3
71,81,6440.323077,6440.35,6441.65,6445.35
84,76,6440.323077,6440.35,6444.2,6447.9
97,54,6440.323077,6440.35,6441.5,6448.2
77,53,6440.323077,6440.35,6441.5,6450.8
76,56,6440.323077,6440.35,6441.5,6451.2
83,83,6440.323077,6440.35,6442.9,6451.2
96,69,6440.323077,6440.35,6442.65,6451.5
94,71,6440.323077,6440.35,6443.05,6451.7
85,66,6440.323077,6440.35,6441.45,6452.0
75,77,6440.323077,6440.35,6441.95,6452.4
74,78,6440.323077,6440.35,6441.5,6452.85
109,17,6443.601431,6443.65,6444.9,6453.1
100,59,6440.323077,6440.35,6441.45,6453.35
108,30,6440.943113,6440.95,6442.1,6453.8
81,36,6440.323077,6440.35,6441.5,6454.5
78,52,6440.323077,6440.35,6447.7,6456.25
93,72,6440.323077,6440.35,6447.55,6457.15
88,21,6440.323077,6440.35,6441.8,6457.25
95,86,6440.323077,6440.35,6448.05,6457.65
110,47,6452.017531,6452.05,6453.45,6458.15
103,67,6440.323077,6440.35,6444.0,6458.15
107,24,6440.323077,6440.35,6441.8,6458.25
86,68,6440.323077,6440.35,6441.45,6458.35
104,50,6440.323077,6440.35,6441.5,6458.9
87,74,6440.323077,6440.35,6442.1,6459.55
92,85,6440.323077,6440.35,6442.85,6459.65
112,64,6452.793202,6452.8,6454.85,6459.95
73,75,6440.323077,6440.35,6441.45,6460.45
116,76,6454.083363,6454.1,6455.55,6460.65
98,60,6440.323077,6440.35,6441.5,6460.75
115,54,6454.058318,6454.1,6455.55,6462.3
130,63,6456.255098,6456.3,6458.2,6462.5
133,36,6456.70805,6456.75,6458.7,6463.0
91,65,6440.323077,6440.35,6441.5,6463.2
79,70,6440.323077,6440.35,6441.45,6463.45
127,59,6456.000358,6456.05,6458.7,6463.95
139,83,6457.211449,6457.25,6461.25,6464.05
101,88,6440.323077,6440.35,6447.3,6464.15
125,20,6455.770662,6455.8,6457.2,6464.45
72,79,6440.323077,6440.35,6441.45,6464.45
